optimizer,dataset,seed,min_sse,params
basin_hopping,pso_2,7,35601.81108243,"[0.44138303784794186, 0.4996454604139115, 0.49964922272245094, 0.4999465249561685, 0.01790734845348361, 0.009811825003850172, 0.00026751391468216745, 0.00025178321357715477, 0.009998892229071701, 0.008785231716450936, 5e-05, 796812.9302695468, 8.466030747483892e-08, 682988.1627899144, 299137.3474099992, 611351.1813463989, 9.969954681663363e-06, 1.1069313909211037e-08, 1.7273391795325792, 0.009998893905301601, 832567.1061092227]"
dual_annealing,basin_hopping_3,6,1013887.34973831,"[0.05968725892459862, 0.12021887644990746, 0.19374154415206904, 0.19105480274741932, 0.0021288601145164534, 0.0001, 0.01, 0.01, 0.01, 0.0001, 0.01, 923266.0385426334, 1e-08, 20055.050916263517, 828806.7509019587, 304105.28161889437, 1e-05, 1e-05, 0.892410133439885, 0.01, 334489.7479867729]"
dual_annealing,lshade_1,10,196585.50037667,"[0.16637181702139145, 0.4264194755691859, 0.462697661195398, 0.04097382269302527, 0.17526638815857895, 0.003244790682004341, 0.00530674996007376, 5.000124687140975e-05, 0.007455030513209767, 0.0008185721077060547, 5e-05, 728817.7701384557, 9.60157706255965e-06, 973302.9903189896, 850350.731696278, 319530.0195673012, 1.9834234271462527e-07, 5.8492062310424085e-06, 0.7914350275796735, 0.0001002385487740214, 278420.1790554856]"
cmaes,cmaes_1,6,93771.86510539,"[0.18598543032057985, 0.002647434559072277, 0.1449698750636733, 0.23129351004700163, 0.0028138712364167715, 0.0023027928885278703, 0.008290645035723264, 0.009376705147321944, 0.00941495051346104, 0.0029316315997483535, 0.002877380261278259, 372148.8165456945, 5.129085234618772e-07, 201826.6554556744, 257342.5853184686, 133.11197868861163, 9.999771957045957e-06, 6.081807380854128e-06, 1.0300539100753157, 0.009960072437612365, 64319.33005095836]"
basin_hopping,dual_annealing_3,2,134587.01425775,"[0.21945759562322142, 0.16055648876406678, 0.16946140993408745, 0.1715894969671993, 0.0015048354490817511, 0.00640976589536035, 0.00020542983122431155, 0.001195979441475637, 0.008824685572620115, 0.0009526158523558719, 5e-05, 955506.8752900783, 1.2652003946724493e-07, 801554.7711757318, 504373.0734922431, 590126.6562441228, 8.680867022651262e-06, 1e-08, 1.7763096442510575, 0.0004982188272078763, 675287.9325395784]"
pso,cmaes_3,9,1358168.28658615,"[0.07802097708406924, 0.19055133012013564, 0.47737309053325955, 0.03398550022821201, 0.126725779145398, 0.004772031797159693, 0.0027621648980782486, 0.00792129593519799, 0.005535610970988638, 0.004377394052986886, 6.997263662017488e-05, 644677.7618474576, 1.8437880134155328e-06, 614227.8387253012, 626113.3874420717, 31811.857357329107, 2.45000120837104e-06, 1.7196969370628018e-07, 1.6957950895138105, 0.003109433339455539, 596020.3718214586]"
pso,lshade_3,5,1026475.80979203,"[0.20819356257478094, 0.3584511016508078, 0.4728521647278288, 0.41687277196753497, 0.24967932934713988, 0.007203237588194347, 0.004543074638420884, 0.005533583727510686, 0.001311591205027191, 0.008567242734746554, 5.431045637230639e-05, 259406.98207362345, 9.49882056203568e-06, 356367.36251089064, 879921.2738133555, 162154.88985263958, 8.199966066831979e-07, 2.6009456290975284e-06, 0.8626878547452108, 0.005020129123227027, 579857.1443190452]"
cmaes,pso_2,4,35380.51358188,"[0.3806619761527603, 0.36079525302282733, 0.4914968839223886, 0.18715994543580547, 0.05837533860102245, 0.008195140765519731, 0.008301499274173311, 0.009968215701365763, 0.004077582826812047, 0.00797555238417286, 5.0169514616790425e-05, 412771.30259251304, 8.411496103385255e-06, 549913.8082358076, 222437.2904117837, 585105.9717001264, 9.641637063765388e-06, 6.773192214995677e-06, 1.2044834951599306, 0.004021280190687289, 101601.19651708887]"
basin_hopping,dual_annealing_1,2,48156.50370553,"[0.49999784510458123, 0.004800696960851887, 0.004806765512115813, 0.3281283127540803, 0.0005843884881268376, 0.00999953912021955, 0.009999993428701347, 0.004976254731152169, 0.00012859223849664772, 0.0027838053301178747, 0.0027845083273327765, 933060.9665320253, 1e-08, 494896.69184103416, 255354.51814597572, 385259.91795733094, 1e-05, 1e-08, 1.5162539893204552, 0.009776752805691265, 710147.1398590666]"
lshade,dual_annealing_2,10,93270.58936837,"[0.12435013875907175, 0.06524529822124728, 0.0005, 0.01234730716700344, 0.18063584188171028, 0.004410200851696027, 0.006512124055270672, 0.005044814713775596, 0.002797498362820085, 0.01, 0.0014794556857340914, 284760.16540071194, 6.5208239324121835e-06, 178656.6039207092, 144661.07481405674, 261994.02556250346, 9.835452857342502e-06, 4.1685016745313776e-06, 0.7153319269507172, 0.005630611519685132, 387955.60097118636]"
lshade,basin_hopping_2,8,120649.97173628,"[0.3976367114893524, 0.07686034777377014, 0.0005, 0.0005, 0.2537297132256102, 0.006634746578358064, 0.0049494388806117645, 0.0057432586904668185, 0.005346897481786605, 0.0046459184747501625, 0.002514460487828684, 477538.11653682066, 7.593014769218228e-06, 286273.37129909743, 464742.53018502216, 139563.83441334812, 2.9636445438447496e-06, 6.656017031256702e-06, 1.8594259342976318, 0.008207752620752686, 181612.89070494613]"
pso,cmaes_1,3,2042373.95589691,"[0.4766792438512241, 0.2718090901487314, 0.3140648356135647, 0.13423721144763517, 0.3394650260406289, 0.0015679071782954193, 0.0018287090951791634, 0.0033396208763070063, 0.002480605429637996, 0.0062351601714168104, 8.388153618349987e-05, 526347.7244656276, 2.9564038209506556e-06, 994368.6914061307, 745759.0064425517, 803215.3090630106, 2.637256124482114e-06, 9.880480128696897e-06, 0.7336192904522876, 0.007459383136141025, 619299.5560553924]"
pso,basin_hopping_3,8,868338.7773941,"[0.007838752664237891, 0.033228536294434396, 0.043496933198986454, 0.008136296784477914, 0.07704345917389277, 0.0017110273639298137, 0.004396741189337391, 0.006616976506213176, 0.009388920964364769, 0.009626033694696638, 0.006026069509801708, 230184.03732059852, 3.7656241553289042e-06, 223890.27900664188, 552983.8511673779, 310077.21900586423, 6.775950792457816e-06, 9.775091721183556e-06, 1.7761210680346338, 0.007868791396896042, 136905.5747058103]"
pso,basin_hopping_2,4,2608523.90138032,"[0.23306713726467632, 0.23181351164719266, 0.3857517219630802, 0.2338892346134447, 0.28292377940742997, 0.006728367373641313, 0.006927753036254497, 0.0021409234035777856, 0.008267487093907561, 0.006137229769409443, 8.032241450489468e-05, 130816.58016647748, 4.390442141741728e-06, 561141.4520538637, 666446.4175492376, 571782.464120267, 3.170051477448181e-06, 6.525257814908211e-06, 0.7913224621839774, 0.008460729243654824, 376341.49586748425]"
pso,pso_2,8,807522.50028297,"[0.4757989088730911, 0.16466520041130073, 0.2851444719948092, 0.011092551774722847, 0.01369928828959277, 0.004305354011449534, 0.002165101546624353, 0.006949689989031988, 0.007399262005652557, 0.0015228123682411304, 6.823114268193273e-05, 141549.30343634693, 6.167604944728993e-07, 349370.05791847984, 639883.0295415514, 317882.65516560874, 4.678635257470979e-06, 2.233836762967708e-06, 2.314030751103017, 0.006192484035957044, 129287.26343770651]"
basin_hopping,dual_annealing_1,7,154473.55632834,"[0.46491750398859094, 0.498440887299727, 0.49843701877642327, 0.0021336413255477076, 0.48600613258231207, 0.0004432237943459978, 0.0001000000270785318, 8.978117108923802e-05, 0.00965605497559696, 0.000941293707780389, 5e-05, 803274.5778442869, 5.607898463956917e-07, 685164.531861678, 319286.498344172, 629607.3892306034, 2.1735313037404253e-08, 9.999906196092925e-06, 1.6207306545086186, 0.009656129941549008, 851386.1341909515]"
pso,dual_annealing_2,9,2663164.24771325,"[0.0010132614648711287, 0.28225884943380225, 0.39362390813327386, 0.005121203882759662, 0.3404340646888721, 0.0072652371738470695, 0.006130952960700025, 0.008970311997047863, 0.009919335713440069, 0.0005048666145269168, 0.009851998661606761, 647744.6100088509, 2.924970948054314e-06, 27019.6762336595, 36210.47366970673, 13478.13333614383, 7.771322797006908e-06, 4.086263392357869e-06, 0.8272403486793536, 0.008220414108703122, 632325.1411035641]"
dual_annealing,basin_hopping_1,7,743156.67596328,"[0.2286651276144219, 0.10004039105148689, 0.10047442770433779, 0.10563720297639448, 0.0016528163603496886, 0.00010001, 0.009931560793239499, 0.009422473475126932, 0.006315166580769881, 0.0001, 0.0002333047529569468, 955522.7822372314, 9.953925915498778e-06, 203983.8872155004, 678929.3547149743, 83753.31497854867, 1e-05, 8.59026186072224e-06, 0.8573017643284374, 0.009939437317541336, 526159.4730368325]"
dual_annealing,pso_3,4,48909.35545058,"[0.22787113595234051, 0.4816044996443183, 0.4010291268220092, 0.3260163577726399, 0.3852706691890094, 0.01, 0.0001, 5e-05, 0.0001, 0.01, 5.207321815024851e-05, 172324.6975726141, 1.7565618919241983e-06, 801445.8705526321, 932197.1240498695, 262978.79568253265, 5.01504528384395e-06, 6.110956718543751e-06, 1.5381487319993508, 0.00010000005623300345, 956692.999099373]"
basin_hopping,cmaes_2,9,124462.61054867,"[0.004786674831979931, 0.005044205425219135, 0.44126335416447315, 0.01614933588867749, 0.015951389495522803, 0.00013320933330280435, 0.008040510548241071, 0.01, 0.00013874752972334076, 0.009999988000130461, 0.009999997998750305, 957069.5163002877, 1e-08, 505809.76685115066, 21133.661514329437, 516628.237540964, 1e-05, 1e-08, 2.4650788867257702, 0.009996971768162955, 822992.5608747953]"
basin_hopping,basin_hopping_1,8,60553.35688803,"[0.015903667902021756, 0.004363961265748711, 0.49367203888205824, 0.0341096731326177, 0.029442093089644603, 0.0001468691660759338, 0.009927457088294707, 0.01, 0.009997557137493748, 0.0037582556888852547, 0.004317374378561802, 903536.5020428931, 1e-08, 741951.1559477277, 74137.01001842371, 803764.3655240559, 1e-05, 1e-08, 1.0629739186854326, 0.009992870285969409, 332980.143498252]"
basin_hopping,dual_annealing_3,9,38415.14231417,"[0.06604484292292934, 0.49997313274344796, 0.47631418499431416, 0.051857423198037364, 0.05005244547481141, 0.004735035789043576, 0.0006005208418049991, 0.006562922304488688, 0.00059469032657417, 0.008976808810423795, 0.0017434490381431245, 790039.7469806343, 3.021868462383939e-06, 312857.13650485245, 100.00856699717518, 931326.6474663389, 1e-05, 1.457208749173406e-07, 0.7135953955470513, 0.006075836642245056, 100.4634436027558]"
pso,lshade_3,4,1683762.29701946,"[0.1269563408359508, 0.20218203312071917, 0.4645354871268059, 0.38441782489647774, 0.33666234140714196, 0.0020581089228062796, 0.004689972337191426, 0.00597162126563122, 0.003843662771385742, 0.007346117143541616, 7.627498477933824e-05, 309297.1320598043, 5.5528943994812455e-06, 753307.8804700326, 200765.39982826263, 138035.8168872483, 6.43374055786353e-06, 7.313028822246938e-06, 0.580425514790817, 0.0032281733109473807, 516882.2985088852]"
cmaes,lshade_2,1,53482.17696529,"[0.014395598909680774, 0.31718499971221903, 0.38135608431494694, 0.2177002806794846, 0.0018554075578248782, 0.0005879397321668015, 0.00013360827138742014, 0.009986141439762317, 0.00031070151009785657, 0.007578723958507425, 5.000079511546281e-05, 77420.46836962258, 3.6333895705011986e-06, 440211.11709938274, 386114.04059505294, 323453.58930673526, 9.99978530117769e-06, 1.0083063474563837e-06, 2.7606250981817544, 0.009879416094522055, 183675.50680143858]"
pso,dual_annealing_1,1,1393967.00297119,"[0.1287684176087252, 0.17042546062328606, 0.011577722334258411, 0.20096308208975694, 0.017241622391996947, 0.0010162123583195594, 0.0060080563108807815, 0.0007111340570444463, 0.0031253145795742195, 0.009147021235846828, 7.35925055450531e-05, 783913.1349463582, 5.971470085844534e-06, 860894.0813501835, 460356.3988145012, 908606.2380109162, 4.648174883373982e-06, 5.318468959878272e-06, 0.9301596357207373, 0.004926316041823507, 994076.0593836347]"
pso,dual_annealing_1,9,1098958.13823041,"[0.07802097708406924, 0.19055133012013564, 0.47737309053325955, 0.03398550022821201, 0.126725779145398, 0.004772031797159693, 0.0027621648980782486, 0.00792129593519799, 0.005535610970988638, 0.004377394052986886, 6.997263662017488e-05, 644677.7618474576, 1.8437880134155328e-06, 614227.8387253012, 626113.3874420717, 31811.857357329107, 2.45000120837104e-06, 1.7196969370628018e-07, 1.6957950895138105, 0.003109433339455539, 596020.3718214586]"
lshade,dual_annealing_1,7,62275.25089536,"[0.14173529660413914, 0.301895845364424, 0.22625929297276012, 0.11091669077889935, 0.18394869752326776, 0.006350872136553705, 0.005326730020906226, 0.006478608493250829, 0.01, 0.006644382814817242, 0.0018337575400532626, 78794.40102452307, 9.64717121023499e-06, 706859.936242739, 373425.2787075351, 100.0, 5.7285118709798676e-06, 4.302967451419232e-06, 0.7546880838178713, 0.00738983318134327, 100.0]"
lshade,dual_annealing_2,7,51019.18681142,"[0.337320474488862, 0.08977436401936902, 0.40873798280934676, 0.0005, 0.24408212847093008, 0.0026279886539140145, 0.01, 0.006872823195309734, 0.0012302331738956933, 0.0022563783010561434, 0.004716533514302474, 841773.4313601796, 6.307265597951113e-06, 753325.0184371084, 850943.1093396634, 766857.1718786827, 8.029188373246247e-06, 3.1960500571002105e-06, 1.931147437265568, 0.006378639688454287, 100.0]"
dual_annealing,basin_hopping_1,2,659796.94855256,"[0.028344095000151413, 0.07569766854724501, 0.2848583797671508, 0.104506644742755, 0.011412578186275203, 0.0001, 0.006058358551423213, 0.01, 0.005714673652558096, 0.0001, 0.00035458359279949445, 349469.8250273486, 1e-05, 691770.1026500739, 834027.6388363496, 157139.91531490415, 1e-05, 1e-05, 0.5291812246854934, 0.009950766854799871, 922305.028000311]"
basin_hopping,pso_1,5,49877.65127857,"[0.10615741747010723, 0.05673090873457154, 0.3130558031611444, 0.444357938367236, 0.002501057397534994, 0.009969719067008082, 0.00875117835586031, 8.676691267800452e-05, 0.00011482453576339732, 0.009958637966182009, 5e-05, 602609.5428494753, 1e-05, 986784.9256454891, 58876.126764217195, 3843.5243703382425, 1.203826652162621e-06, 1e-05, 2.341887848275455, 0.00013235485630388102, 412583.8518150023]"
basin_hopping,cmaes_3,3,185621.95757194,"[0.053008646300598594, 0.4996815939394671, 0.29048788838361883, 0.04013819583388408, 0.39439078617332657, 0.0001, 0.006020090977537157, 0.01, 0.005907564206331012, 0.001159111388576435, 5e-05, 498438.84659397654, 9.98391716089847e-06, 373938.61436167284, 205533.9999095149, 42143.84782884436, 1e-05, 6.0258941288525845e-06, 0.5003083897726065, 0.01, 959790.6645857057]"
basin_hopping,basin_hopping_2,3,56406.38494576,"[0.004166890537703099, 0.4999626546649351, 0.3757599980886923, 0.10545719236426356, 0.1724132456111562, 0.0001, 0.0017336847282668915, 0.009999816007928042, 0.007334099349373632, 0.0035713282251898957, 5.5123164396766505e-05, 499912.6690887284, 1e-05, 372661.4732019368, 204519.8230432792, 43369.69241830173, 1e-05, 1e-05, 0.5000959179074888, 0.009329843080408146, 955206.777512308]"
pso,dual_annealing_2,8,2090373.02326186,"[0.057591335469790894, 0.23873161885533423, 0.10321831339530985, 0.11424571470356315, 0.3478802748886873, 0.005098058458568371, 0.009868983558594386, 0.004323209073220724, 0.005541469527269562, 0.005630947768328185, 6.438807299597444e-05, 369355.57542967855, 2.463110600120221e-06, 659840.9491626305, 547654.5147096047, 308769.6155072037, 6.75399283629246e-06, 5.890953069066487e-06, 0.5229382697134675, 0.006810069692344731, 396719.5613943328]"
cmaes,basin_hopping_2,1,61414.25444362,"[0.009330810348100198, 0.024732518882162696, 0.0878539627884797, 0.08076899698900833, 0.275457922253069, 0.0003413826954777014, 0.004562648567755036, 0.009911789636253663, 0.006908792254180245, 0.009362497217253936, 0.009777422440606079, 356870.6199655994, 1.1090904801498679e-07, 33359.37290354986, 533290.9685775544, 811.6649596508431, 9.993956759263198e-06, 2.569187089395166e-07, 0.5248287537945183, 0.00813344867857392, 280228.2720388534]"
basin_hopping,lshade_1,8,47456.18278549,"[0.03624201148294204, 0.0019783723073677566, 0.4476203609488727, 0.03619304592291078, 0.03619237890220997, 0.00010155186563037289, 0.009283392152778984, 0.01, 0.00999217296799972, 0.0025525320914041, 0.0068531896961489345, 800504.5799472794, 1e-08, 769366.3281797183, 65039.34547263595, 712662.6060129325, 1e-05, 1e-08, 0.9971562383625503, 0.009251053648563936, 294694.9881994578]"
lshade,cmaes_2,10,126035.46909131,"[0.10045645711153653, 0.22812631770341416, 0.27834580567335754, 0.30737309345361497, 0.33078254537321233, 0.0026765803882788305, 0.00255444996710989, 0.007144085487302886, 0.0001, 0.003838643520264112, 0.0019251976557165113, 100.0, 6.359346033603091e-06, 816063.260335375, 455564.0787693057, 438935.76852231385, 7.828786293320207e-06, 5.904357368896763e-06, 2.6400850384246506, 0.006932061358373684, 100.0]"
lshade,pso_3,5,48942.83949522,"[0.454512212608295, 0.5, 0.34649241377535406, 0.3036412088768119, 0.44218902800692805, 0.009166476059546912, 0.006325815803227986, 0.00751567796585008, 0.004308413758645154, 0.009964457101568349, 5.1918641604357086e-05, 1000000.0, 5.408353267889341e-06, 832069.3091281101, 787078.7229099495, 602136.6723094626, 1.169748374715928e-06, 5.3325704501894395e-06, 0.5, 0.0038885712363462984, 728473.5545115971]"
dual_annealing,dual_annealing_3,6,88773.58996461,"[0.10736137641151153, 0.19941921128528428, 0.31232055837991646, 0.31353557169348145, 0.0019072447524894512, 0.008578388665143367, 0.007677371178322237, 0.01, 0.00802762489572952, 0.004097055032549574, 5e-05, 151829.27069076418, 9.964382735967703e-06, 21306.872520223824, 109604.36205003201, 753484.6816231699, 1e-05, 9.993973716465726e-06, 1.2167369014927687, 0.007900192670885169, 381691.3841596408]"
cmaes,cmaes_3,10,56604.28421315,"[0.00056193385726212, 0.4453275267598759, 0.1354231099750543, 0.2677053561036308, 0.2574844881364752, 0.009344392799362949, 0.003979120782428022, 0.004093798032887738, 0.0009099613233436058, 0.0002742072838028484, 0.00906324800641986, 98180.3660642924, 1.4599997794801215e-07, 172458.00700037807, 101.00660097635006, 1133.6495147460496, 8.974911872206685e-06, 1.7141833218922652e-08, 1.8532619757032405, 0.0005832081051444213, 486776.55848362064]"
pso,basin_hopping_2,3,2295315.92917398,"[0.4766792438512241, 0.2718090901487314, 0.3140648356135647, 0.13423721144763517, 0.3394650260406289, 0.0015679071782954193, 0.0018287090951791634, 0.0033396208763070063, 0.002480605429637996, 0.0062351601714168104, 8.388153618349987e-05, 526347.7244656276, 2.9564038209506556e-06, 994368.6914061307, 745759.0064425517, 803215.3090630106, 2.637256124482114e-06, 9.880480128696897e-06, 0.7336192904522876, 0.007459383136141025, 619299.5560553924]"
pso,cmaes_3,3,1241241.31859647,"[0.11937812985245044, 0.27394379012305503, 0.32862941649363525, 0.06851245828519326, 0.34002881402619933, 0.004908463329785671, 0.0096329824253861, 0.0033869362895664755, 0.001403418118876806, 0.00452366238708913, 6.080821525645923e-05, 604242.7575577716, 1.1031576932324708e-06, 454954.28842020384, 746605.763954862, 782588.618112097, 3.85598015062944e-06, 1.2470839361482152e-06, 0.7771364673692257, 0.005870240673117556, 631107.7224226345]"
